date,desc,wt,arm,moment,wca,aircraft_id
22/01/2011,Manuals (Operational),16.7,67,1118.9,A595659,1
22/01/2011,Manuals (Maintenance) under CB panel,5,71,355,A595659,1
22/01/2011,AAM & QRH,3,24,72,A595659,1
22/01/2011,Jeppesen (x2 Pacific Sets),8,56,448,A595659,1
22/01/2011,Jeppesen (Procedures Manual),2,71,142,A595659,1
22/01/2011,Perspex Clipboard,0.2,71,14.2,A595659,1
22/01/2011,ISO Wipes,0.3,56,16.8,A595659,1
22/01/2011,Ear Muffs,0.5,67,33.5,A595659,1
22/01/2011,Rain Jacket (High Visibility),0.9,67,60.3,A595659,1
22/01/2011,Rain Pants (High Visibility),0.4,67,26.8,A595659,1
22/01/2011,Coat Hangars,0.3,67,20.1,A595659,1
22/01/2011,Safety Reporting Kit,1.6,145,232,A595659,1
22/01/2011,Inflight Communication Form Pad,0.4,145,58,A595659,1
22/01/2011,OMS A4 & OMS B3,1.5,145,217.5,A595659,1
22/01/2011,PA Handbook (x1) FWD,0.3,108,32.4,A595659,1
22/01/2011,PA Handbook (x1)  AFT,0.3,1163,348.9,A595659,1
22/01/2011,Emergency Procedures Cards (x2)  FWD,0.1,108,10.8,A595659,1
22/01/2011,Emergency Procedures Cards (x4)  AFT,0.1,1163,116.3,A595659,1
22/01/2011,OMS A4.1  & OMS C2,1.4,1219,1706.6,A595659,1
22/01/2011,Miscellaneous  eg. LifeTV HOVDU Row 1 TrayTables Courtesy Magazines Newspapers etc,8,145,1160,A595659,1
22/01/2011,Passenger Seat Back Documentation (Y Class),162,626.92,101561.04,A595659,1
22/01/2011,Magazines  Spare Stock (x10) LH FWD Windscreen,7.2,152,1094.4,A595659,1
22/01/2011,Safety Onboard Cards  Spare Stock (x15) LH FWD Windscreen,1,152,152,A595659,1
22/01/2011,Braille Safety Instructions Cards LH FWD Windscreen,0.4,152,60.8,A595659,1
22/01/2011,Headset Satchels  Economy Class (x2) Row 4 O/H Locker,3,281.95,845.85,A595659,1
22/01/2011,Guest Pillows and Blankets  Business Class (x8) Row 1 O/H Locker,3.2,181.95,582.24,A595659,1
22/01/2011,Guest Amenity Kits  Business Class (x8) Row 1 O/H Locker,3,181.95,545.85,A595659,1
22/01/2011,Headset Box  Spare (x2) Row 9,14,437.95,6131.3,A595659,1
22/01/2011,Vacuum Cleaners (x2) Row 29 O/H Locker,2.2,1076.95,2369.29,A595659,1
22/01/2011,Dustpan and Brush (x1) Row 29 O/H Locker,0.3,1076.95,323.09,A595659,1
22/01/2011,Hygiene Kit (White Plastic Bag)  Row 29 O/H Locker,3.6,1076.95,3877.02,A595659,1
22/01/2011,Little Loo Kit  Row 29 O/H Locker,4.3,1076.95,4630.89,A595659,1
22/01/2011,First Aid Pillow and Blanket (x2) Row 29 O/H Locker,0.8,1076.95,861.56,A595659,1
22/01/2011,Cup Holder (x2) Row 29 O/H Locker,0.8,1076.95,861.56,A595659,1
22/01/2011,Daily First Aid Kit  Galley G4,2.5,1219,3047.5,A595659,1
22/01/2011,Mini First Aid Kit  Galley G4,0.5,1219,609.5,A595659,1
22/01/2011,Lavatory Dry Stock (x1)  FWD,2.7,89,240.3,A595659,1
22/01/2011,Lavatory Dry Stock (x2)  AFT,5.4,1145,6183,A595659,1
22/01/2011,Oven Rack Carrier (x1)  Galley G4,3.4,1219,4144.6,A595659,1
22/01/2011,Oven Tray Racks (x8)  Galley G4,1.6,1219,1950.4,A595659,1
